iter	RMSE
0	0.9998176439
1	0.9977135368
2	0.9956461893
3	0.9936607743
4	0.9918983078
5	0.9898938685
6	0.988029481
7	0.9863592248
8	0.9844899164
9	0.982717142
10	0.980792634
11	0.9791698026
12	0.9773790562
13	0.9756023398
14	0.9737975463
15	0.9722585345
16	0.9706845531
17	0.9691051165
18	0.9674094775
19	0.9658353349
20	0.964442217
21	0.9629414065
22	0.9615329477
23	0.9601109
24	0.9586822762
25	0.9573434071
26	0.9560872525
27	0.9547616062
28	0.9533960008
29	0.9522726547
30	0.9510561429
31	0.9497165631
32	0.9484067139
33	0.9472027472
34	0.9460556048
35	0.9449494943
36	0.9438671656
37	0.9425868181
38	0.9414674573
39	0.940279602
40	0.9392089099
41	0.9380010849
42	0.9368747359
43	0.9359236187
44	0.9350253171
45	0.9338856088
46	0.9328795033
47	0.9318901068
48	0.9309207815
49	0.9300377515
50	0.9290880257
51	0.9282732737
52	0.927487747
53	0.9265296631
54	0.9256053599
55	0.9247839467
56	0.9239259932
57	0.9229715245
58	0.922117294
59	0.9213301133
60	0.9205725371
61	0.9199052447
62	0.9191020819
63	0.9182428358
64	0.9175155557
65	0.9166820036
66	0.9158895252
67	0.9151601298
68	0.9144376438
69	0.9138189389
70	0.9131389951
71	0.9124024751
72	0.9117212771
73	0.911085697
74	0.9104938195
75	0.909879665
76	0.9092045233
77	0.90852245
78	0.9079226272
79	0.9073744559
80	0.9068781698
81	0.9062667811
82	0.9057613916
83	0.9052008416
84	0.9046799936
85	0.9041830403
86	0.9035848582
87	0.9030285146
88	0.9026420679
89	0.9022582331
90	0.9017402956
91	0.9012314069
92	0.9007955136
93	0.9003275103
94	0.8999647533
95	0.8996074704
96	0.8991407164
97	0.8985839758
98	0.8981679666
99	0.897662401
100	0.8971847912
101	0.8967242601
102	0.8962941607
103	0.8957822272
104	0.8953179425
105	0.8949082518
106	0.8944822177
107	0.8939918009
108	0.8935413297
109	0.8931706281
110	0.8927190506
111	0.8922768926
112	0.8918018299
113	0.8914293463
114	0.8909972948
115	0.8907139557
116	0.8903057189
117	0.8899379337
118	0.8896935745
119	0.8893444665
120	0.8889490856
121	0.8886149549
122	0.8883419552
123	0.8880520936
124	0.8878023193
125	0.8874678802
126	0.8871793136
127	0.886811013
128	0.886491415
129	0.886181515
130	0.8859148524
131	0.8855549214
132	0.8852038221
133	0.8848779511
134	0.8846267141
135	0.8843366585
136	0.8840493696
137	0.8837990117
138	0.8835121178
139	0.8832103622
140	0.8829059285
141	0.8826732974
142	0.8824632196
143	0.8822458448
144	0.8820268588
145	0.881797209
146	0.8815636991
147	0.8813221601
148	0.8811182837
149	0.8809315462
150	0.8806837346
151	0.8804390478
152	0.8802408476
153	0.8799495078
154	0.8797016318
155	0.8794467426
156	0.8792064777
157	0.8790124799
158	0.8787654791
159	0.8786097183
160	0.878409805
161	0.8781951492
162	0.8779296228
163	0.8776963435
164	0.8775090229
165	0.8773251582
166	0.8771090231
167	0.8769000939
168	0.8767299772
169	0.8765371132
170	0.8763664339
171	0.8762027272
172	0.8760004994
173	0.8757210415
174	0.8755685396
175	0.8753274133
176	0.875139845
177	0.8748732008
178	0.8747641779
179	0.8745962244
180	0.8744735533
181	0.8742690028
182	0.8740537165
183	0.8738896207
184	0.873747819
185	0.8735896752
186	0.8734049558
187	0.8732301559
188	0.8730735218
189	0.8728781447
190	0.8727180687
191	0.8725707181
192	0.8723917606
193	0.8722537789
194	0.8721282456
195	0.8719618861
196	0.8718316212
197	0.8716331645
198	0.8715473909
199	0.8713554215
200	0.8712333106
201	0.8710236148
202	0.8709211407
203	0.8707729255
204	0.8706171648
205	0.8704395024
206	0.8703450495
207	0.8702416633
208	0.8701077687
209	0.8699476385
210	0.8698198908
211	0.8696962801
212	0.86958808
213	0.8694638107
214	0.8692977973
215	0.8691805887
216	0.8690463319
217	0.8689004549
218	0.8687717994
219	0.8686529087
220	0.8685457006
221	0.8684554696
222	0.8683465863
223	0.8682462
224	0.868113226
225	0.8680209172
226	0.8679066055
227	0.8677761275
228	0.8676526203
229	0.8675658576
230	0.8674922307
231	0.8674059376
232	0.8673319691
233	0.867252911
234	0.8671574394
235	0.8670382816
236	0.8669448159
237	0.8668427765
238	0.8667327362
239	0.866601443
240	0.8665333164
241	0.8664405754
242	0.8663775057
243	0.866296552
244	0.8661851878
245	0.8660686727
246	0.8659493656
247	0.8658260953
248	0.8657355905
249	0.8656221791
250	0.8655514445
251	0.8654803409
252	0.8654080683
253	0.8652994415
254	0.8651927811
255	0.8651022139
256	0.8650492774
257	0.8650264656
258	0.8649301026
259	0.8647940239
260	0.8647168433
261	0.8646459158
262	0.8645584047
263	0.8644915969
264	0.8643736668
265	0.8643256818
266	0.8642307747
267	0.8641523798
268	0.8640635097
269	0.8639685833
270	0.8638631036
271	0.8637712168
272	0.8636964306
273	0.8636062982
274	0.863550927
275	0.8634903438
276	0.8633616819
277	0.8632701171
278	0.863232913
279	0.8631281672
280	0.8630372869
281	0.8629870938
282	0.8629122713
283	0.8628406457
284	0.8628050705
285	0.8627270007
286	0.8626580877
287	0.8625831396
288	0.862477095
289	0.8624082713
290	0.8623418901
291	0.862288892
292	0.8622199904
293	0.8621506499
294	0.8620534478
295	0.8619638529
296	0.8619388983
297	0.861884132
298	0.8618151917
299	0.8617685565
300	0.8616756298
301	0.8615957611
302	0.8615107814
303	0.8614549836
304	0.861396171
305	0.8613235982
306	0.8612690612
307	0.8612182414
308	0.8611746383
309	0.8611288043
310	0.8610872264
311	0.8610339452
312	0.8609650047
313	0.8609178113
314	0.8608347593
315	0.860778543
316	0.8607356806
317	0.860662528
318	0.8605972327
319	0.8605353181
320	0.8604996616
321	0.8604732534
322	0.8604322275
323	0.8603278796
324	0.8602727248
325	0.860207461
326	0.8601571473
327	0.8601184786
328	0.8600799295
329	0.8599882368
330	0.8599306364
331	0.8598852276
332	0.8598372899
333	0.8597721908
334	0.8596931602
335	0.8596486025
336	0.8595725805
337	0.8594937671
338	0.8594322704
339	0.8593763177
340	0.8593427236
341	0.8593022378
342	0.859272361
343	0.8592363425
344	0.8591577483
345	0.8590996418
346	0.859036836
347	0.8589793475
348	0.8589746046
349	0.8589188753
350	0.8588602848
351	0.858806792
352	0.8587658032
353	0.8587254093
354	0.858650252
355	0.8585858977
356	0.8585305066
357	0.858479015
358	0.8584134838
359	0.8583918175
360	0.8583322928
361	0.858269313
362	0.8581910361
363	0.8581520352
364	0.8581155225
365	0.8580725077
366	0.8580421114
367	0.8579967021
368	0.857949132
369	0.8578904356
370	0.8578435029
371	0.857775661
372	0.857708733
373	0.8576863837
374	0.8576419064
375	0.857599352
376	0.857564666
377	0.8575146342
378	0.85748472
379	0.8574421508
380	0.8573941774
381	0.8573138037
382	0.8572433677
383	0.8572168266
384	0.8571568826
385	0.8571244871
386	0.857079557
387	0.8570755676
388	0.8570316267
389	0.8569985108
390	0.8569687111
391	0.8569275643
392	0.856878501
393	0.8568390063
394	0.8568125451
395	0.8567558566
396	0.8567221351
397	0.8566995604
398	0.8566669305
399	0.8566075546
400	0.8565563341
401	0.8565333838
402	0.856491467
403	0.8564574535
404	0.8564008661
405	0.8563517858
406	0.8562908066
407	0.8562689564
408	0.8562230905
409	0.8561638827
410	0.8561371357
411	0.8560931809
412	0.8560709904
413	0.8560322982
414	0.8560014384
415	0.8559795469
416	0.8559297929
417	0.855865626
418	0.8558159315
419	0.8557919997
420	0.8557382063
421	0.8556922363
422	0.8556817744
423	0.8556486812
424	0.8556326032
425	0.8555904439
426	0.8555633838
427	0.8555118629
428	0.8554787744
429	0.8554549967
430	0.8554085931
431	0.8553698168
432	0.8553273851
433	0.8553069291
434	0.8552670171
435	0.8552294913
436	0.8552149297
437	0.855166647
438	0.8551271374
439	0.8551240879
440	0.8550907224
441	0.8550508235
442	0.8550269006
443	0.8550195985
444	0.8549442324
445	0.8548925103
446	0.8548493345
447	0.8548269293
448	0.8547957973
449	0.8547754862
450	0.8547285263
451	0.8547055628
452	0.8546643979
453	0.8546368899
454	0.8546054726
455	0.8545850574
456	0.8545465069
457	0.8545238641
458	0.8544716122
459	0.8544310686
460	0.8543912789
461	0.854347487
462	0.8543234411
463	0.8542980526
464	0.8542531002
465	0.8542288964
466	0.854197366
467	0.854172166
468	0.8541447635
469	0.8541073947
470	0.8540813552
471	0.8540440113
472	0.8539961851
473	0.8539510108
474	0.8539217953
475	0.8539095327
476	0.8538866155
477	0.8538608122
478	0.8538088945
479	0.8537787182
480	0.8537549457
481	0.8537096407
482	0.8536725756
483	0.8536117544
484	0.853597719
485	0.8535633753
486	0.8535191608
487	0.8534887094
488	0.8534660548
489	0.8534376049
490	0.8534181421
491	0.8533642323
492	0.8533433317
493	0.8533221666
494	0.8532861633
495	0.8532704611
496	0.8532226887
497	0.853220467
498	0.8531856613
499	0.8531799768
500	0.8531472615
501	0.8531358998
502	0.8531090137
503	0.8530656474
504	0.8530308412
505	0.8530100527
506	0.8529797628
507	0.8529612775
508	0.8529158813
509	0.8528768426
510	0.8528425824
511	0.8528224317
512	0.8527962234
513	0.8527803761
