iter	Passed	Remaining
0	56	83966
1	57	42713
2	57	28806
3	58	21886
4	59	17699
5	59	14931
6	60	12903
7	61	11387
8	61	10201
9	62	9249
10	62	8489
11	63	7847
12	63	7309
13	64	6837
14	64	6422
15	65	6058
16	65	5737
17	66	5451
18	66	5195
19	67	4965
20	67	4757
21	67	4567
22	68	4395
23	68	4236
24	69	4089
25	69	3954
26	70	3829
27	70	3714
28	71	3607
29	71	3502
30	72	3413
31	72	3323
32	72	3242
33	73	3163
34	73	3087
35	74	3018
36	74	2951
37	75	2888
38	75	2828
39	75	2770
40	76	2715
41	76	2662
42	77	2611
43	77	2563
44	77	2519
45	78	2475
46	78	2433
47	79	2394
48	79	2359
49	80	2323
50	80	2290
51	81	2256
52	81	2224
53	81	2193
54	82	2163
55	82	2136
56	83	2109
57	83	2082
58	84	2057
59	84	2032
60	85	2007
61	85	1984
62	86	1962
63	86	1940
64	86	1919
65	87	1898
66	87	1877
67	88	1857
68	88	1837
69	89	1820
70	89	1802
71	90	1785
72	90	1768
73	90	1750
74	91	1733
75	91	1717
76	92	1703
77	92	1688
78	93	1674
79	93	1660
80	94	1646
81	94	1632
82	94	1619
83	95	1605
84	95	1591
85	95	1578
86	96	1564
87	96	1551
88	97	1538
89	97	1525
90	97	1513
91	98	1502
92	98	1490
93	98	1479
94	99	1468
95	99	1457
96	100	1447
97	100	1437
98	100	1427
99	101	1417
100	101	1408
101	102	1399
102	102	1390
103	102	1381
104	103	1373
105	103	1364
106	104	1356
107	104	1347
108	104	1338
109	105	1330
110	105	1322
111	106	1315
112	106	1308
113	107	1302
114	107	1295
115	107	1287
116	108	1280
117	108	1273
118	109	1266
119	109	1259
120	109	1252
121	110	1245
122	110	1238
123	111	1231
124	111	1225
125	111	1218
126	112	1212
127	112	1207
128	113	1201
129	113	1195
130	113	1188
131	114	1182
132	114	1176
133	114	1170
134	115	1164
135	115	1159
136	115	1153
137	116	1148
138	116	1142
139	117	1138
140	117	1133
141	117	1127
142	118	1122
143	118	1116
144	118	1111
145	119	1106
146	119	1101
147	120	1096
148	120	1091
149	120	1086
150	121	1082
151	121	1077
152	121	1073
153	122	1068
154	122	1064
155	123	1060
156	123	1055
157	123	1051
158	124	1046
159	124	1042
160	124	1038
161	125	1033
162	125	1029
163	125	1025
164	126	1021
165	126	1017
166	127	1013
167	127	1009
168	127	1006
169	128	1002
170	128	998
171	128	994
172	129	991
173	129	987
174	129	983
175	130	980
176	130	977
177	131	973
178	131	969
179	131	966
180	132	962
181	132	959
182	132	956
183	133	953
184	133	949
185	133	946
186	134	943
187	134	940
188	135	937
189	135	933
190	135	930
191	136	927
192	136	924
193	136	921
194	137	918
195	137	916
196	138	914
197	138	911
198	138	908
199	139	905
200	139	902
201	140	899
202	140	896
203	140	894
204	141	891
205	141	889
206	141	886
207	142	883
208	142	881
209	143	878
210	143	876
211	143	874
212	144	871
213	144	869
214	144	866
215	145	864
216	145	862
217	146	859
218	146	857
219	146	855
220	147	852
221	147	850
222	148	848
223	148	846
224	148	843
225	149	841
226	149	839
227	150	837
228	150	835
229	150	833
230	151	830
231	151	828
232	152	826
233	152	824
234	152	822
235	153	820
236	153	818
237	153	816
238	154	814
239	154	812
240	155	810
241	155	808
242	155	806
243	156	804
244	156	802
245	156	800
246	157	798
247	157	796
248	158	794
249	158	792
250	158	790
251	159	788
252	159	786
253	159	784
254	160	782
255	160	780
256	161	779
257	161	776
258	161	774
259	162	773
260	162	771
261	162	769
262	163	767
263	163	765
264	163	763
265	164	761
266	164	759
267	164	757
268	165	756
269	165	754
270	165	752
271	166	750
272	166	749
273	167	747
274	167	745
275	167	744
276	168	742
277	168	741
278	168	739
279	169	737
280	169	736
281	170	734
282	170	733
283	170	731
284	171	729
285	171	728
286	171	726
287	172	724
288	172	723
289	172	721
290	173	719
291	173	718
292	174	717
293	174	715
294	174	714
295	175	712
296	175	711
297	175	709
298	176	708
299	176	706
300	177	705
301	177	703
302	177	702
303	178	700
304	178	699
305	178	697
306	179	696
307	179	694
308	179	693
309	180	692
310	180	690
311	181	689
312	181	687
313	181	686
314	182	685
315	182	684
316	182	682
317	183	681
318	183	680
319	184	678
320	184	677
321	184	676
322	185	674
323	185	673
324	185	672
325	186	670
326	186	669
327	187	668
328	187	666
329	187	665
330	188	664
331	188	662
332	188	661
333	189	660
334	189	659
335	190	658
336	190	657
337	190	656
338	191	655
339	191	653
340	192	652
341	192	651
342	192	650
343	193	649
344	193	647
345	193	646
346	194	645
347	194	644
348	194	642
349	195	641
350	195	640
351	196	639
352	196	638
353	196	636
354	197	635
355	197	634
356	197	633
357	198	632
358	198	631
359	199	630
360	199	629
361	199	628
362	200	627
363	200	626
364	201	625
365	201	624
366	201	622
367	202	621
368	202	620
369	202	619
370	203	618
371	203	617
372	203	616
373	204	615
374	204	614
375	205	613
376	205	612
377	205	611
378	206	610
379	206	609
380	207	608
381	207	607
382	207	606
383	208	604
384	208	603
385	208	602
386	209	601
387	209	600
388	209	599
389	210	598
390	210	597
391	211	596
392	211	595
393	211	594
394	212	593
395	212	592
396	212	591
397	213	590
398	213	589
399	213	588
400	214	587
401	214	586
402	215	585
403	215	584
404	215	583
405	216	582
406	216	581
407	216	580
408	217	579
409	217	578
410	217	577
411	218	576
412	218	575
413	219	574
414	219	573
415	219	572
416	220	571
417	220	570
418	220	569
419	221	568
420	221	567
421	221	566
422	222	565
423	222	564
424	222	563
425	223	562
426	223	561
427	223	560
428	224	559
429	224	558
430	224	557
431	225	556
432	225	555
433	225	554
434	226	554
435	226	553
436	227	552
437	227	551
438	227	550
439	228	549
440	228	548
441	228	547
442	229	546
443	229	545
444	229	544
445	230	543
446	230	542
447	230	542
448	231	541
449	231	540
450	231	539
451	232	538
452	232	537
453	233	536
454	233	536
455	233	535
456	234	534
457	234	533
458	234	532
459	235	531
460	235	530
461	235	530
462	236	529
463	236	528
464	237	527
465	237	527
466	237	526
467	238	525
468	238	524
469	238	523
470	239	522
471	239	522
472	240	521
473	240	520
474	240	519
475	241	518
476	241	517
477	241	517
478	242	516
479	242	515
480	242	514
481	243	514
482	243	513
483	244	512
484	244	511
485	244	510
486	245	510
487	245	509
488	245	508
489	246	507
490	246	506
491	246	506
492	247	505
493	247	504
494	248	503
495	248	502
496	248	501
497	248	500
498	249	500
499	249	499
500	250	498
501	250	497
502	250	496
503	251	496
504	251	495
505	251	494
506	252	493
507	252	493
508	252	492
509	253	491
510	253	490
511	253	489
512	254	489
513	254	488
514	254	487
515	255	486
516	255	486
517	256	485
518	256	484
519	256	484
520	257	483
521	257	482
522	258	481
523	258	481
524	258	480
525	259	479
526	259	479
527	259	478
528	260	477
529	260	477
530	261	476
531	261	475
532	261	475
533	262	474
534	262	473
535	262	472
536	263	472
537	263	471
538	264	470
539	264	470
540	264	469
541	265	468
542	265	467
543	265	467
544	266	466
545	266	465
546	266	465
547	267	464
548	267	463
549	268	462
550	268	462
551	268	461
552	269	460
553	269	460
554	269	459
555	270	458
556	270	458
557	270	457
558	271	456
559	271	456
560	272	455
561	272	454
562	272	454
563	273	453
564	273	452
565	274	452
566	274	451
567	274	450
568	275	450
569	275	449
570	275	448
571	276	448
572	276	447
573	276	446
574	277	446
575	277	445
576	278	444
577	278	444
578	279	443
579	279	443
580	279	442
581	280	442
582	280	441
583	281	440
584	281	440
585	281	439
586	282	439
587	282	438
588	283	437
589	283	437
590	283	436
591	284	435
592	284	435
593	285	434
594	285	434
595	285	433
596	286	432
597	286	432
598	286	431
599	287	430
600	287	430
601	288	429
602	288	429
603	288	428
604	289	427
605	289	427
606	289	426
607	290	426
608	290	425
609	291	424
610	291	424
611	292	423
612	292	423
613	292	422
614	293	422
615	293	421
616	294	420
617	294	420
618	294	419
619	295	419
620	295	418
621	296	418
622	296	417
623	296	416
624	297	416
625	297	415
626	298	415
627	298	414
628	299	414
629	299	413
630	299	413
631	300	412
632	300	411
633	301	411
634	301	411
635	302	410
636	302	410
637	303	409
638	303	409
639	304	408
640	304	407
641	304	407
642	305	406
643	305	406
644	305	405
645	306	404
646	306	404
647	307	403
648	307	403
649	307	402
650	308	401
651	308	401
652	309	400
653	309	400
654	309	399
655	310	399
656	310	398
657	310	397
658	311	397
659	311	396
660	312	396
661	312	395
662	312	395
663	313	394
664	313	393
665	314	393
666	314	392
667	314	392
668	315	391
669	315	390
670	315	390
671	316	389
672	316	389
673	317	388
674	317	388
675	317	387
676	318	386
677	318	386
678	319	385
679	319	385
680	319	384
681	320	384
682	320	383
683	320	382
684	321	382
685	321	381
686	322	381
687	322	380
688	323	380
689	323	379
690	323	379
691	324	378
692	324	377
693	324	377
694	325	376
695	325	376
696	326	375
697	326	375
698	326	374
699	327	373
700	327	373
701	327	372
702	328	372
703	328	371
704	329	371
705	329	370
706	329	369
707	330	369
708	330	368
709	330	368
710	331	367
711	331	366
712	331	366
713	332	365
714	332	365
715	333	364
716	333	364
717	333	363
718	334	362
719	334	362
720	334	361
721	335	361
722	335	360
723	335	359
724	336	359
725	336	358
726	336	358
727	337	357
728	337	356
729	337	356
730	338	355
731	338	355
732	338	354
733	339	354
734	339	353
735	340	353
736	340	352
737	340	351
738	341	351
739	341	350
740	341	350
741	342	349
742	342	348
743	342	348
744	343	347
745	343	347
746	343	346
747	344	346
748	344	345
749	345	345
750	345	344
751	345	343
752	346	343
753	346	342
754	346	342
755	347	341
756	347	341
757	348	340
758	348	340
759	348	339
760	349	339
761	349	338
762	349	337
763	350	337
764	350	336
765	350	336
766	351	335
767	351	335
768	351	334
769	352	334
770	352	333
771	353	332
772	353	332
773	353	331
774	354	331
775	354	330
776	354	330
777	355	329
778	355	329
779	355	328
780	356	327
781	356	327
782	356	326
783	357	326
784	357	325
785	357	325
786	358	324
787	358	324
788	359	323
789	359	322
790	359	322
791	360	322
792	360	321
793	361	321
794	361	320
795	362	320
796	362	319
797	362	319
798	363	318
799	363	318
800	364	317
801	364	317
802	364	316
803	365	316
804	365	315
805	365	315
806	366	314
807	366	314
808	367	313
809	367	313
810	367	312
811	368	312
812	368	311
813	369	311
814	369	310
815	369	310
816	370	309
817	370	308
818	370	308
819	371	307
820	371	307
821	372	306
822	372	306
823	372	305
824	373	305
825	373	304
826	373	304
827	374	303
828	374	303
829	375	302
830	375	302
831	376	302
832	376	301
833	377	301
834	377	300
835	378	300
836	378	299
837	378	299
838	379	299
839	379	298
840	380	298
841	380	297
842	381	297
843	381	296
844	381	295
