model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 C Class,2019.0,34579,Semi-Auto,1000.0,Petrol,145.0,44.1,1.5
 GLE Class,2017.0,33142,Automatic,27661.0,Diesel,145.0,42.8,3.0
 C Class,2018.0,20685,Semi-Auto,21929.0,Diesel,145.0,64.2,2.1
 C Class,2016.0,18700,Semi-Auto,33237.0,Diesel,125.0,58.9,2.1
 C Class,2019.0,29995,Semi-Auto,9.0,Petrol,145.0,42.8,2.0
 C Class,2019.0,31400,Automatic,2200.0,Diesel,145.0,64.2,2.0
 C Class,2018.0,23456,Automatic,26723.0,Diesel,145.0,65.7,2.1
 C Class,2013.0,9000,Automatic,56544.0,Diesel,145.0,56.5,2.1
 GLA Class,2019.0,26399,Automatic,3334.0,Diesel,145.0,56.5,2.1
 C Class,2019.0,29480,Semi-Auto,34.0,Petrol,145.0,47.1,1.5
 C Class,2015.0,16999,Automatic,55978.0,Diesel,30.0,61.4,2.1
 A Class,2019.0,20490,Semi-Auto,4493.0,Diesel,145.0,68.9,1.5
 CLS Class,2019.0,44699,Automatic,5500.0,Diesel,145.0,47.9,2.9
 X-CLASS,2018.0,28950,Automatic,13500.0,Diesel,260.0,35.8,2.3
 GLA Class,2020.0,25995,Semi-Auto,570.0,Petrol,150.0,37.2,1.6
 E Class,2019.0,39499,Semi-Auto,1000.0,Diesel,145.0,57.7,2.0
 A Class,2017.0,15498,Manual,47412.0,Diesel,20.0,68.9,1.5
 GLC Class,2017.0,29480,Semi-Auto,27552.0,Diesel,145.0,56.5,2.1
 C Class,2015.0,16581,Semi-Auto,23985.0,Diesel,20.0,64.2,2.1
 A Class,2017.0,16000,Manual,18247.0,Petrol,150.0,51.4,1.6
 E Class,2014.0,12450,Automatic,78185.0,Diesel,125.0,57.7,2.1
 A Class,2018.0,17990,Semi-Auto,16196.0,Diesel,145.0,65.7,1.5
 C Class,2017.0,14645,Automatic,42104.0,Diesel,20.0,65.7,2.1
 C Class,2019.0,88995,Semi-Auto,200.0,Petrol,145.0,28.0,4.0
 E Class,2016.0,21498,Semi-Auto,29833.0,Diesel,160.0,51.4,3.0
 A Class,2019.0,18990,Semi-Auto,8831.0,Diesel,145.0,65.7,1.5
 A Class,2018.0,17950,Automatic,10498.0,Diesel,150.0,65.7,1.5
 SL CLASS,2017.0,19700,Manual,28380.0,Petrol,150.0,48.7,1.6
 A Class,2018.0,32999,Semi-Auto,11000.0,Petrol,145.0,40.9,2.0
 A Class,2019.0,24094,Semi-Auto,5889.0,Petrol,145.0,53.3,1.3
 C Class,2019.0,25799,Automatic,10892.0,Petrol,145.0,47.1,1.5
 C Class,2019.0,33299,Automatic,2286.0,Petrol,145.0,44.1,2.0
 GLE Class,2015.0,27649,Semi-Auto,12019.0,Diesel,200.0,47.9,2.1
 E Class,2018.0,31900,Automatic,5003.0,Petrol,145.0,40.4,2.0
 C Class,2017.0,13610,Manual,32783.0,Petrol,125.0,53.3,2.0
 A Class,2019.0,24202,Semi-Auto,5856.0,Petrol,145.0,53.3,1.3
 C Class,2019.0,63495,Automatic,500.0,Petrol,145.0,28.0,4.0
 GLC Class,2019.0,34499,Semi-Auto,138.0,Diesel,145.0,44.8,2.0
 A Class,2014.0,9914,Manual,55058.0,Diesel,20.0,72.4,1.5
 B Class,2019.0,25699,Semi-Auto,12090.0,Diesel,150.0,54.3,2.0
 A Class,2017.0,16980,Manual,15734.0,Diesel,145.0,62.8,2.1
 C Class,2019.0,30900,Automatic,2776.0,Petrol,150.0,42.2,2.0
 GLC Class,2017.0,25995,Semi-Auto,47776.0,Diesel,200.0,47.9,3.0
 A Class,2020.0,25879,Semi-Auto,1000.0,Petrol,145.0,53.3,1.3
 E Class,2019.0,28500,Semi-Auto,12972.0,Diesel,145.0,58.9,2.0
 E Class,2013.0,9995,Semi-Auto,50000.0,Diesel,140.0,55.4,2.1
 C Class,2014.0,9000,Manual,52000.0,Diesel,20.0,64.2,2.1
 CLA Class,2016.0,13295,Automatic,82100.0,Diesel,20.0,67.3,2.1
 C Class,2018.0,18449,Semi-Auto,6501.0,Diesel,145.0,65.7,1.6
 A Class,2019.0,24399,Semi-Auto,5310.0,Petrol,145.0,53.3,1.3
 GLA Class,2017.0,21062,Semi-Auto,21143.0,Diesel,125.0,56.5,2.1
 C Class,2019.0,44990,Automatic,19999.0,Petrol,145.0,28.5,4.0
 E Class,2017.0,20000,Automatic,21067.0,Diesel,30.0,65.7,2.0
 C Class,2020.0,29950,Semi-Auto,101.0,Diesel,145.0,48.7,2.0
 S Class,2017.0,29990,Semi-Auto,17814.0,Diesel,160.0,50.4,3.0
 A Class,2019.0,19649,Manual,14071.0,Petrol,145.0,28.5,1.3
 E Class,2017.0,22740,Automatic,25567.0,Diesel,145.0,51.4,3.0
 SLK,2016.0,17480,Semi-Auto,29726.0,Diesel,30.0,70.6,2.0
 C Class,2019.0,36199,Semi-Auto,9800.0,Petrol,145.0,30.4,3.0
 E Class,2017.0,22890,Automatic,34934.0,Diesel,150.0,61.4,2.0
 E Class,2019.0,32999,Automatic,7626.0,Diesel,145.0,45.6,2.0
 A Class,2018.0,19250,Automatic,12451.0,Diesel,145.0,68.9,1.5
 C Class,2016.0,17440,Automatic,25374.0,Diesel,30.0,64.2,2.1
 A Class,2017.0,16299,Automatic,23857.0,Diesel,145.0,74.3,1.5
 GLC Class,2017.0,22750,Semi-Auto,29929.0,Diesel,145.0,56.5,2.1
 E Class,2013.0,11295,Automatic,81200.0,Diesel,125.0,57.7,2.1
 CLS Class,2013.0,12400,Automatic,51423.0,Diesel,145.0,55.0,2.1
