AT,AP,AH,TEY,CO,NOX,AP_normalized
1.9532,1020.1,84.985,116.27,7.0833,56.838,0.7072463768116062
1.2191,1020.1,87.523,109.18,6.4684,56.838,0.7072463768116062
0.94915,1022.2,78.335,125.88,3.6335,56.838,0.9507246376811772
1.0075,1021.7,76.942,132.21,3.1972,56.838,0.8927536231884229
1.2858,1021.6,76.732,133.58,2.3833,82.515,0.8811594202898694
1.8319,1021.7,76.411,133.58,2.0812,81.193,0.8927536231884229
2.074,1022.0,75.974,131.53,2.2529,83.171,0.9275362318840702
1.7824,1022.6,73.535,133.18,3.735,56.838,0.9971014492753781
1.593,1023.2,72.873,135.38,3.6398,56.838,1.066666666666686
1.6819,1023.8,72.441,134.86,3.5866,56.838,1.1362318840579808
1.9002,1024.5,71.376,134.98,3.5605,84.117,1.2173913043478422
1.7797,1025.1,68.528,134.21,3.6902,56.838,1.2869565217391368
1.1722,1025.3,65.626,134.44,3.1766,56.838,1.3101449275362438
0.72327,1025.4,64.393,133.82,2.562,56.838,1.3217391304348105
0.48348,1025.8,64.144,135.36,2.1854,84.104,1.3681159420289983
0.42953,1025.9,64.504,134.47,2.4286,83.869,1.379710144927565
0.48238,1026.1,63.519,115.92,7.0833,56.838,1.4028985507246456
0.059447,1026.0,52.124,111.2,4.6896,56.838,1.3913043478261053
-0.21598,1026.7,51.978,115.46,7.0833,56.838,1.4724637681159667
0.0167,1026.8,54.805,148.05,3.8632,75.64,1.484057971014507
0.68481,1026.7,56.029,168.83,2.979,59.354,1.4724637681159667
1.9995,1026.3,54.0,166.13,2.5793,59.432,1.4260869565217527
3.1663,1025.7,51.35,167.49,2.2228,58.432,1.356521739130458
3.6486,1025.3,51.649,165.89,2.2119,60.172,1.3101449275362438
3.9207,1025.2,49.619,166.0,2.3487,60.255,1.2985507246377035
3.9193,1025.1,51.181,166.46,2.3095,59.778,1.2869565217391368
3.0965,1024.8,55.35,167.79,2.345,60.011,1.2521739130434895
1.7596,1024.7,63.278,167.49,2.5317,60.746,1.2405797101449492
0.93867,1024.8,65.617,168.31,2.6109,60.902,1.2521739130434895
0.50713,1024.6,66.254,169.09,2.5376,60.859,1.2289855072463824
0.15533,1024.3,66.477,135.72,3.8333,56.838,1.1942028985507351
0.052442,1024.0,64.823,130.43,3.6518,56.838,1.1594202898550878
-0.0821,1023.7,64.949,133.77,3.7902,56.838,1.1246376811594403
-0.51781,1023.3,69.287,133.77,3.3021,56.838,1.0782608695652263
-0.9986,1022.8,70.71,133.03,1.8773,56.838,1.020289855072472
-1.0841,1022.3,70.733,130.41,1.7751,83.696,0.9623188405797175
-1.1782,1022.1,71.123,112.69,3.4947,56.838,0.9391304347826237
-0.76101,1021.7,67.056,114.36,4.819,56.838,0.8927536231884229
0.087578,1021.7,65.819,118.3,4.5298,56.838,0.8927536231884229
1.4518,1021.5,61.996,133.43,1.3132,83.181,0.8695652173913158
2.4984,1021.4,63.047,168.09,1.2045,60.106,0.8579710144927623
3.3266,1021.7,66.119,166.2,1.2045,61.945,0.8927536231884229
4.2115,1021.5,61.488,165.35,2.7161,63.731,0.8695652173913158
5.1391,1021.5,59.337,163.96,3.0923,64.865,0.8695652173913158
5.0453,1021.6,57.228,165.03,3.0077,64.007,0.8811594202898694
4.6618,1021.6,60.676,165.57,2.6836,61.714,0.8811594202898694
4.4074,1021.9,60.947,166.83,2.7014,60.213,0.9159420289855167
4.281,1021.9,60.558,166.51,2.6258,60.981,0.9159420289855167
3.7958,1021.8,60.91,167.29,2.6703,61.507,0.9043478260869632
3.3547,1021.6,62.1,167.18,2.6669,61.46,0.8811594202898694
2.8923,1021.1,66.424,167.9,2.6077,61.358,0.8231884057971149
2.0483,1021.1,71.357,168.68,2.6023,60.548,0.8231884057971149
1.83,1020.5,73.273,151.67,3.6218,72.238,0.753623188405807
1.8904,1019.7,74.198,135.3,3.7212,81.982,0.6608695652174053
1.917,1018.8,74.153,123.17,6.1854,56.838,0.5565217391304369
1.9133,1017.8,74.163,116.74,6.637,56.838,0.4405797101449281
1.7046,1017.3,75.115,114.28,5.4031,83.034,0.3826086956521737
1.3545,1016.5,75.283,114.41,4.4993,81.069,0.28985507246377196
0.97337,1015.4,76.16,114.35,4.8751,81.231,0.16231884057970966
1.0745,1014.4,77.225,114.69,4.9219,82.157,0.04637681159420087
1.5034,1013.5,76.696,114.77,5.0782,84.12,-0.05797101449275439
1.8859,1012.5,76.903,115.83,5.0031,83.635,-0.17391304347826317
4.7414,1011.4,85.328,113.76,4.8359,77.263,-0.30144927536232546
8.4217,1010.3,74.105,113.69,5.0404,76.802,-0.42898550724638773
9.716,1009.5,70.263,123.08,4.1312,73.564,-0.5217391304347895
10.74,1008.8,68.654,134.06,2.9333,69.379,-0.6028985507246509
11.415,1007.9,66.927,133.05,3.3732,69.477,-0.7072463768116062
11.766,1007.1,67.464,133.22,3.47,69.652,-0.8000000000000079
11.353,1006.9,72.516,131.77,3.5554,69.506,-0.8231884057971149
10.692,1006.9,78.953,133.23,3.5066,68.439,-0.8231884057971149
9.9885,1006.9,85.275,133.53,3.5051,68.718,-0.8231884057971149
9.2895,1007.2,84.281,133.78,3.468,68.869,-0.7884057971014544
8.3505,1008.0,80.518,133.43,3.6109,71.454,-0.6956521739130527
7.5733,1009.0,71.839,132.51,3.5993,73.652,-0.5797101449275439
7.1961,1009.9,65.087,123.81,6.7175,56.838,-0.4753623188405886
6.2532,1011.3,66.841,119.29,4.5415,77.115,-0.31304347826087897
5.6855,1011.7,69.495,133.52,3.4706,75.806,-0.2666666666666649
5.5742,1011.9,67.438,125.04,5.2331,81.157,-0.24347826086957106
5.4146,1012.1,67.829,109.81,7.0833,56.838,-0.22028985507246404
4.913,1012.3,63.164,121.76,5.328,56.838,-0.19710144927537018
4.2385,1012.3,66.918,133.93,3.6275,77.797,-0.19710144927537018
3.6407,1012.2,67.552,142.24,3.4647,75.028,-0.20869565217391053
2.9389,1012.4,72.17,164.89,2.7787,61.716,-0.18550724637681668
3.8495,1012.7,68.282,163.33,2.5636,63.627,-0.15072463768115613
4.9438,1012.6,64.037,163.77,2.8564,64.093,-0.16231884057970966
5.5877,1012.4,61.391,161.72,2.6062,65.783,-0.18550724637681668
